tweetDate,twitterId,handle,text,profileUser,name,tweetLink,timestamp,query,type
Thu Jul 09 06:50:00 +0000 2020,17480896,postimees,Koroona tõttu läheb aega teenima planeeritust 1500 vähem noort https://t.co/JLOUg5Eq1T,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1281118390334230529,2020-07-12T05:30:39.469Z,https://twitter.com/postimees,tweets-replies
Thu Jul 09 06:44:33 +0000 2020,17480896,postimees,Avatud talude päeval ootab külastajaid ligi 300 talu https://t.co/QV2vwZVkAn,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1281117018930974721,2020-07-12T05:30:39.470Z,https://twitter.com/postimees,tweets-replies
Thu Jul 09 03:46:27 +0000 2020,17480896,postimees,Päevaga sai liikluses vigastada kaks inimest https://t.co/n8loZb61Py,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1281072195620478977,2020-07-12T05:30:39.470Z,https://twitter.com/postimees,tweets-replies
Thu Jul 09 03:34:31 +0000 2020,17480896,postimees,Politsei tabas kaheksa joobes sõidukijuhti https://t.co/v5M1qJua08,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1281069195036446720,2020-07-12T05:30:39.470Z,https://twitter.com/postimees,tweets-replies
Thu Jul 09 03:31:40 +0000 2020,17480896,postimees,Reitingud: Reformierakonna suur edu Keskerakonna ees püsib https://t.co/aD5igJr6NM,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1281068474295619585,2020-07-12T05:30:39.469Z,https://twitter.com/postimees,tweets-replies
Wed Jul 08 18:18:51 +0000 2020,17480896,postimees,Pressifoto aastanäitus jätkab ringreisi üle Eesti https://t.co/dbinFm9DRz,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1280929355544301568,2020-07-12T05:30:39.470Z,https://twitter.com/postimees,tweets-replies
Wed Jul 08 18:01:52 +0000 2020,17480896,postimees,Neljapäeval algavad mitmel pool teetööd https://t.co/QtQ6lCw3xd,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1280925079405289480,2020-07-12T05:30:39.470Z,https://twitter.com/postimees,tweets-replies
Wed Jul 08 17:32:24 +0000 2020,17480896,postimees,Politsei otsib Lüganuse vallas Aa külas hooldekodust lahkunud Antoninat https://t.co/7afpKDMGby,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1280917667587768321,2020-07-12T05:30:39.470Z,https://twitter.com/postimees,tweets-replies
Wed Jul 08 17:22:39 +0000 2020,17480896,postimees,Kirjanik ja kunagine tippkorvpallur Mihkel Tiks kavandab näljastreiki https://t.co/icUpui59zY,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1280915213412417536,2020-07-12T05:30:39.470Z,https://twitter.com/postimees,tweets-replies
Wed Jul 08 16:51:15 +0000 2020,17480896,postimees,Üürileandja saab tulevikus lihtsamalt sobimatust üürilisest vabaneda https://t.co/QdgjNUL9WY,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1280907310454448128,2020-07-12T05:30:39.470Z,https://twitter.com/postimees,tweets-replies
Wed Jul 08 16:49:17 +0000 2020,17480896,postimees,Ivari Padar: selle maasikasordi nimi on «Helme hõbe» https://t.co/eo0cHmpXv2,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1280906814318665729,2020-07-12T05:30:39.470Z,https://twitter.com/postimees,tweets-replies
Wed Jul 08 15:54:56 +0000 2020,17480896,postimees,"Gruusia lubab riiki Baltimaade, Saksa ja Prantsuse kodanikke https://t.co/RAiPGM9q2n",https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1280893135590240256,2020-07-12T05:30:39.470Z,https://twitter.com/postimees,tweets-replies
Wed Jul 08 15:26:41 +0000 2020,17480896,postimees,Kultuurikomisjon sunnib Hõbemäed valima ERRi nõukogu ja Kuku raadio saate vahel https://t.co/aFdjpTVgN3,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1280886027134132224,2020-07-12T05:30:39.470Z,https://twitter.com/postimees,tweets-replies
Wed Jul 08 15:23:57 +0000 2020,17480896,postimees,Pärnu maantee lõik suletakse homsest liiklusele https://t.co/Yy6JkeBDmc,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1280885340694368263,2020-07-12T05:30:39.470Z,https://twitter.com/postimees,tweets-replies
Wed Jul 08 14:49:28 +0000 2020,17480896,postimees,"Uued koroonapiirangud tulevad, kui nakatunuid on kahe nädala peale 300 https://t.co/cZgghgKOIV",https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1280876661588865027,2020-07-12T05:30:39.470Z,https://twitter.com/postimees,tweets-replies
Wed Jul 08 14:41:48 +0000 2020,17480896,postimees,Antsla otsib 300 000 euroga õpilasliinide veoteenindajat https://t.co/AnUMcTjcyX,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1280874732007587842,2020-07-12T05:30:39.470Z,https://twitter.com/postimees,tweets-replies
