likesCount,tweetUrl,action,profileUrl,handle,description,name,rtCount
1,https://twitter.com/postimees/status/1279055535929688066,liked,https://www.twitter.com/@ESTJPNproject,@ESTJPNproject,"「よく分からないけど北欧？」―日本ではこう言われることが多いエストニア。

そんなエストニアと日本の間に様々な交流のエピソードがあったのをご存じですか？

当プロジェクトは、エストニア共和国外務省並びに在エストニア日本国大使館の公認で、2021年12月までに日エ関係史の200年をまとめた本を出版します！",【クラファン延長中！】🇯🇵🇪🇪「日本・エストニア関係史の200年」Bookプロジェクト📖,
1,https://twitter.com/postimees/status/1279035935536164866,liked,https://www.twitter.com/@lammashaka,@lammashaka,"Sortoa vastaan. Suomen alkuperäisasukas. 
Against oppression. Aboriginal Finnish.",Lammashaka 🇫🇮🇪🇪🇮🇪,
1,https://twitter.com/postimees/status/1279003377880502275,liked,https://www.twitter.com/@funkyfreshdays7,@funkyfreshdays7,"üleharitud siidisuklane, kosmosesõdalane, vastutustundetu liberast, sotsiaalrevolutsionäär, elav teemant, elektromagnetiline resonants",Laura L.,
1,https://twitter.com/postimees/status/1278956056090234881,liked,https://www.twitter.com/@Raateri,@Raateri,KTM,Raimo Rajala,
3,https://twitter.com/postimees/status/1278701569165406210,liked,https://www.twitter.com/@SilvaAtTwitta,@SilvaAtTwitta,"Die Welt braucht mehr Sokrates.

Ansonsten irgendwas mit IT.

Listen dienen nur zum Organisieren dieses Chaoshaufens hier",Silva Arnemann,
3,https://twitter.com/postimees/status/1278701569165406210,liked,https://www.twitter.com/@dolgovskaja,@dolgovskaja,,Inna Dolgovskaja,
3,https://twitter.com/postimees/status/1278701569165406210,liked,https://www.twitter.com/@trammijuht2,@trammijuht2,Mulle meeldib teha seeni ja korjata kasse,𝕁𝕒𝕜𝕠𝕡 𝕂ä𝕙𝕣,
3,https://twitter.com/postimees/status/1278581267127324673,liked,https://www.twitter.com/@argohunt001,@argohunt001,,Argo Hunt,
3,https://twitter.com/postimees/status/1278581267127324673,liked,https://www.twitter.com/@VsCba,@VsCba,https://t.co/VDCHungubm | @1984Vivika | https://t.co/yQ2QcbFM0g,🏎🚒🚨☎️⚖️☎️📩📥📧,
1,https://twitter.com/postimees/status/1278574578944610306,liked,https://www.twitter.com/@HenriPetman,@HenriPetman,"Dad ,Husband ,Endurojunkie ,motohead",Henri Petman,
1,https://twitter.com/postimees/status/1278402955755114497,liked,https://www.twitter.com/@argohunt001,@argohunt001,,Argo Hunt,
2,https://twitter.com/postimees/status/1278397096966709249,liked,https://www.twitter.com/@meelisko,@meelisko,,Meelis Koitmäe,
2,https://twitter.com/postimees/status/1278397096966709249,liked,https://www.twitter.com/@argohunt001,@argohunt001,,Argo Hunt,
1,https://twitter.com/postimees/status/1278387315547820032,liked,https://www.twitter.com/@MikaLaunikari,@MikaLaunikari,"Internationally spirited, interculturally oriented & globally minded! A true #European. Lifelong #learning, #career development, int'l mobility. Personal views.",Dr Mika Launikari,
1,https://twitter.com/postimees/status/1278360502188609538,liked,https://www.twitter.com/@VsCba,@VsCba,https://t.co/VDCHungubm | @1984Vivika | https://t.co/yQ2QcbFM0g,🏎🚒🚨☎️⚖️☎️📩📥📧,
,https://twitter.com/postimees/status/1278263935297355777,RT,https://www.twitter.com/@rahandus,@rahandus,Rahandusministeeriumi ametlik säutsla.  Official Twitter account of the Ministry of Finance of the Republic of Estonia.,FinMinEstonia,1
1,https://twitter.com/postimees/status/1278259432288325638,liked,https://www.twitter.com/@AveKarja,@AveKarja,,Ave Karja,
1,https://twitter.com/postimees/status/1277962256727158785,liked,https://www.twitter.com/@svenvarkel,@svenvarkel,Father. Chief Systems Engineer. Singer of Estonian heavy-metal band HERALD. Aficionado of Islay single malts. Hobbyist sourdough baker. #coding #music #baking,Sven Varkel,
,https://twitter.com/postimees/status/1277962256727158785,RT,https://www.twitter.com/@svenvarkel,@svenvarkel,Father. Chief Systems Engineer. Singer of Estonian heavy-metal band HERALD. Aficionado of Islay single malts. Hobbyist sourdough baker. #coding #music #baking,Sven Varkel,1
1,https://twitter.com/postimees/status/1277956108284506112,liked,https://www.twitter.com/@VsCba,@VsCba,https://t.co/VDCHungubm | @1984Vivika | https://t.co/yQ2QcbFM0g,🏎🚒🚨☎️⚖️☎️📩📥📧,
3,https://twitter.com/postimees/status/1277867604523261953,liked,https://www.twitter.com/@tekkie,@tekkie,CTO at @Savings_Utd. Applying DevOps to solve human problems by code. Contributor & maintainer of various Free and Open Source Software projects.,Ain Tohvri,
3,https://twitter.com/postimees/status/1277867604523261953,liked,https://www.twitter.com/@AasaRaiko,@AasaRaiko,Vaba Süüria!,Raiko Aasa,
3,https://twitter.com/postimees/status/1277867604523261953,liked,https://www.twitter.com/@AinoSiebert,@AinoSiebert,"Deutschland 🇩🇪 Estland 🇪🇪 Finnland 🇫🇮 Journalistin/Pressefotografin - Wer in der Demokratie schläft, wird in der Diktatur aufwachen (Udo Lindenberg)",Aino Siebert,
,https://twitter.com/postimees/status/1277867604523261953,RT,https://www.twitter.com/@AasaRaiko,@AasaRaiko,Vaba Süüria!,Raiko Aasa,0
1,https://twitter.com/postimees/status/1277866756472811520,liked,https://www.twitter.com/@xzwjpku,@xzwjpku,,Liang Zhang,
4,https://twitter.com/postimees/status/1277857338293202945,liked,https://www.twitter.com/@argohunt001,@argohunt001,,Argo Hunt,
4,https://twitter.com/postimees/status/1277857338293202945,liked,https://www.twitter.com/@Il_jaa,@Il_jaa,Студент консерватории по специальности хоровой дирижёр. Пишу вокально-хоровую и оркестровую музыку.,Ilja Gumenyk,
4,https://twitter.com/postimees/status/1277857338293202945,liked,https://www.twitter.com/@lammashaka,@lammashaka,"Sortoa vastaan. Suomen alkuperäisasukas. 
Against oppression. Aboriginal Finnish.",Lammashaka 🇫🇮🇪🇪🇮🇪,
4,https://twitter.com/postimees/status/1277857338293202945,liked,https://www.twitter.com/@ESTJPNproject,@ESTJPNproject,"「よく分からないけど北欧？」―日本ではこう言われることが多いエストニア。

そんなエストニアと日本の間に様々な交流のエピソードがあったのをご存じですか？

当プロジェクトは、エストニア共和国外務省並びに在エストニア日本国大使館の公認で、2021年12月までに日エ関係史の200年をまとめた本を出版します！",【クラファン延長中！】🇯🇵🇪🇪「日本・エストニア関係史の200年」Bookプロジェクト📖,
2,https://twitter.com/postimees/status/1277847063838031875,liked,https://www.twitter.com/@Il_jaa,@Il_jaa,Студент консерватории по специальности хоровой дирижёр. Пишу вокально-хоровую и оркестровую музыку.,Ilja Gumenyk,
2,https://twitter.com/postimees/status/1277847063838031875,liked,https://www.twitter.com/@ESTJPNproject,@ESTJPNproject,"「よく分からないけど北欧？」―日本ではこう言われることが多いエストニア。

そんなエストニアと日本の間に様々な交流のエピソードがあったのをご存じですか？

当プロジェクトは、エストニア共和国外務省並びに在エストニア日本国大使館の公認で、2021年12月までに日エ関係史の200年をまとめた本を出版します！",【クラファン延長中！】🇯🇵🇪🇪「日本・エストニア関係史の200年」Bookプロジェクト📖,
2,https://twitter.com/postimees/status/1277822820429561857,liked,https://www.twitter.com/@ojapoiss19,@ojapoiss19,The basis of optimism is sheer terror,Inimeme,
2,https://twitter.com/postimees/status/1277822820429561857,liked,https://www.twitter.com/@argohunt001,@argohunt001,,Argo Hunt,
