likesCount,tweetUrl,action,profileUrl,handle,description,name,rtCount,,,,,,,
160,https://twitter.com/TelAviv/status/1245048160730447873,liked,https://www.twitter.com/@nafic12,@nafic12,,nafic,,,,,,,,
160,https://twitter.com/TelAviv/status/1245048160730447873,liked,https://www.twitter.com/@Eshahar21,@Eshahar21,,אתי שחר,,,,,,,,
160,https://twitter.com/TelAviv/status/1245048160730447873,liked,https://www.twitter.com/@Wggdancer67,@Wggdancer67,You go around once. Make it count.,Wendy gail gordon,,,,,,,,
160,https://twitter.com/TelAviv/status/1245048160730447873,liked,https://www.twitter.com/@KarmelyMaya,@KarmelyMaya,"Israeli Diplomat. Deputy Chief of Mission at the Embassy of @IsraelinAustria 
Coffeeholic. Avid Traveler. RT≠Endorsement",Maya Karmely Sommer,,,,,,,,
160,https://twitter.com/TelAviv/status/1245048160730447873,liked,https://www.twitter.com/@Pseudovektor,@Pseudovektor,,Jürgen Weiss,,,,,,,,
160,https://twitter.com/TelAviv/status/1245048160730447873,liked,https://www.twitter.com/@JacobACollier,@JacobACollier,Security & Diplomacy Studies MA @TelAvivUni | Research Intern @INSSIsrael | Alumni: @MaxwellSU | Published in @TimesofIsrael @TheNatlInterest @CEMMIS | 🇺🇸🇮🇱,יעקב אהרון קליר - يعقوب هارون كالير,,,,,,,,
160,https://twitter.com/TelAviv/status/1245048160730447873,liked,https://www.twitter.com/@AcherEzra,@AcherEzra,"Ferguson, smile, giving, and generosity abound is free and worth gold.",acher ezra,,,,,,,,
160,https://twitter.com/TelAviv/status/1245048160730447873,liked,https://www.twitter.com/@Preston43318138,@Preston43318138,,Preston,,,,,,,,
160,https://twitter.com/TelAviv/status/1245048160730447873,liked,https://www.twitter.com/@YvonnePeel2,@YvonnePeel2,#ScottBaiosArmy,Yvonne Peel,,,,,,,,
160,https://twitter.com/TelAviv/status/1245048160730447873,liked,https://www.twitter.com/@Mike2390324359,@Mike2390324359,I love the adventure,Mike23,,,,,,,,
160,https://twitter.com/TelAviv/status/1245048160730447873,liked,https://www.twitter.com/@SacklerMed,@SacklerMed,The Sackler School of Medicine New York State/American Program of Tel Aviv University is a partnership between the U.S. and Israel that has existed since 1976.,SSM,,,,,,,,
160,https://twitter.com/TelAviv/status/1245048160730447873,liked,https://www.twitter.com/@LiatWexelman,@LiatWexelman,Ambassador of Israel 🇮🇱 to Kazakhstan 🇰🇿and Kyrgyzstan 🇰🇬,Liat Wexelman,,,,,,,,
160,https://twitter.com/TelAviv/status/1245048160730447873,liked,https://www.twitter.com/@jakinmai,@jakinmai,MPH and Diplomat# Cadet @IsraelMFA. Passionate about @Israel and how we became the #StartUpNation,Jakin Mandelblum,,,,,,,,
160,https://twitter.com/TelAviv/status/1245048160730447873,liked,https://www.twitter.com/@Yongsalja,@Yongsalja,"전직 프리파라 and 아이 엠 스타! 선수, 서울코믹월드 스탭. 현재 매월마다 코스피크에 나타나고 실제로 파충류 학대는 한 적이 없으며 우익정당 추종자이자 불교를 믿는 친이스라엘파.","용살자 (龍殺者, Dragonslayer)",,,,,,,,
160,https://twitter.com/TelAviv/status/1245048160730447873,liked,https://www.twitter.com/@Petra1159,@Petra1159,,Petra Ullrich,,,,,,,,
160,https://twitter.com/TelAviv/status/1245048160730447873,liked,https://www.twitter.com/@Shlomke85,@Shlomke85,Husband and father of two, retired officer and ‘always a paratrooper’, #Technion alumnus, @QBioS_GT PhD candidate. #mechanobiology, #hyaluronan, #cellmigration.,Shlomi Cohen,,,
,https://twitter.com/TelAviv/status/1245048160730447873,RT,https://www.twitter.com/@RabbiGreenberg,@RabbiGreenberg,"👋 Developer Advocate 🥑 at @VonageDev, Editor of @tech_torah, Moderator of #Rails at @thepracticaldev✌",Ben Greenberg @ localhost:3000,39,,,,,,,
,https://twitter.com/TelAviv/status/1245048160730447873,RT,https://www.twitter.com/@IsraelinBoston,@IsraelinBoston,The official twitter account for the Consulate General of Israel to New England.,Israel in Boston,39,,,,,,,
,https://twitter.com/TelAviv/status/1245048160730447873,RT,https://www.twitter.com/@natalie_peer,@natalie_peer,"✋ times seeing @backstreetboys : 29.5.2014 in LA , 19,20,21/5/2015 & 22.4.2018 in israel ❤️followed by @brian_littrell since 16.7.2014 ❤️",♡ Natalie Peer ♡,39,,,,,,,
,https://twitter.com/TelAviv/status/1245048160730447873,RT,https://www.twitter.com/@hadarse,@hadarse,"תתחברו ותהנו! sports, politics, music etc. enjoy ! דעותיי מייצגות את עצמי בלבד. פעיל פוליטי, כתב כדורגל ב״ישראל ספורט״ ועוד הרבה דברים מעניינים.",הדר סגל hadar segal,39,,,,,,,
,https://twitter.com/TelAviv/status/1245048160730447873,RT,https://www.twitter.com/@jamiemoss27,@jamiemoss27,"I'm a real woman, straight, a Christian (not a perfect one), 28, a DC fan newb, I pray for the peace of Jerusalem!",Jamie Moss,39,,,,,,,
